Gene_ID	Gene_Name	Sample_1	Sample_10	Sample_11	Sample_12	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
ENSG00000175538.11	KCNE3	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175544.14	CABP4	0.022971	0	0	0.011155	0	0	0.123177	0	0.016431	0	0.024656	0.053045
ENSG00000175548.9	ALG10B	1.734761	2.870317	3.135314	2.551335	1.607746	1.574746	2.471049	1.960897	2.517866	1.948647	1.850938	1.941664
ENSG00000175550.8	DRAP1	151.541112	112.267363	117.812465	114.47814	147.262599	138.122723	118.174643	123.924477	118.341169	135.913011	116.677536	125.62979
ENSG00000175556.17	LONRF3	0.62561	3.320751	3.374858	3.356676	0.660797	0.600203	3.418942	2.772125	3.130146	1.124392	1.147121	1.189523
ENSG00000175564.13	UCP3	0.458522	0.415732	0.192863	0.25334	0.126436	0.159267	0.502185	0.511005	0.2063	0.163085	0.178228	0.029574
ENSG00000175567.11	UCP2	1.161957	3.309415	4.374453	4.036273	1.258823	0.855743	2.408543	3.109197	2.594179	1.403199	1.474502	1.466763
ENSG00000175573.7	C11orf68	17.521476	9.205213	8.674014	9.144466	17.372617	16.566304	8.618199	9.656028	9.072868	14.205728	13.332593	12.519615
ENSG00000175575.13	PAAF1	2.964501	2.926475	3.343068	3.657806	2.421278	2.468299	2.899181	2.473933	2.70038	3.651455	4.111754	4.215425
ENSG00000175581.14	MRPL48	10.331724	10.726717	8.678284	10.476213	8.789786	10.257507	9.840434	8.322988	9.572746	6.226769	8.47665	7.97755
ENSG00000175582.20	RAB6A	19.347202	30.98716	32.565576	30.806839	18.828564	21.284706	27.99954	27.06755	28.957721	22.85848	27.601089	23.674727
ENSG00000175591.12	P2RY2	0.143902	0.758607	1.090482	0.910774	0.143619	0.098654	0.658537	0.500764	0.456341	0.162029	0.182391	0.222856
ENSG00000175592.9	FOSL1	54.422599	30.799878	24.287723	29.915198	54.918309	57.720619	44.181057	47.7049	48.554503	23.547685	21.729307	20.248593
ENSG00000175595.16	ERCC4	3.221485	4.510188	3.875528	4.092198	2.714407	2.68345	3.742851	3.574437	3.798371	3.500731	2.91776	3.243564
ENSG00000175600.16	SUGCT	1.154324	1.811599	2.478339	1.866038	1.131934	1.390889	1.188652	0.973997	1.226242	1.498986	2.240674	2.103097
ENSG00000175602.4	CCDC85B	30.933203	21.069904	19.700201	18.114646	37.08787	30.711175	16.962554	19.118501	15.563343	31.593459	35.626101	30.745992
ENSG00000175604.2	ENSG00000175604	0	0.03524	0	0	0	0.026217	0	0	0.063363	0.011524	0	0
ENSG00000175606.11	TMEM70	12.672459	11.645036	9.489359	11.134181	15.21244	14.011898	11.259923	13.08926	13.181236	10.644621	6.914352	8.669575
ENSG00000175611.14	ERCC6L2-AS1	2.819514	4.372307	3.49274	3.164989	3.232882	3.887117	4.4926	3.837607	3.528214	2.186869	1.960359	1.540661
ENSG00000175619.3	OR4B1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175634.15	RPS6KB2	12.662683	15.432626	13.633944	13.404403	13.799446	13.936845	13.156038	14.738654	14.458187	12.160063	10.859329	10.719687
ENSG00000175643.10	RMI2	8.444954	7.048956	7.871898	9.31419	9.414168	9.088058	6.16752	6.041104	7.204069	9.829145	4.958457	8.032554
ENSG00000175646.4	PRM1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175658.4	DRD5P2	0	0	0.010613	0	0	0	0	0	0	0	0	0
ENSG00000175662.18	TOM1L2	4.926218	12.077335	14.030635	12.47685	4.249847	3.639949	11.922046	11.938508	11.510594	5.159882	4.942694	5.702169
ENSG00000175664.10	TEX26	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175676.16	GOLGA8DP	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175691.9	ZNF77	0.89167	1.438779	1.364517	1.576181	1.324574	1.37977	1.282155	0.820748	1.494461	1.826122	1.917759	1.233972
ENSG00000175697.11	GPR156	0.09749	0.105361	0.025732	0.042704	0.012636	0.12085	0.020873	0.083112	0.024371	0.090815	0.055182	0.095269
ENSG00000175699.15	CCDC197	0	0	0	0	0.019075	0	0	0	0	0	0	0
ENSG00000175701.11	MTLN	19.585908	20.575861	23.595914	23.169861	19.456922	19.806069	22.199763	26.329339	21.650774	17.90236	20.823351	16.679596
ENSG00000175707.10	KDF1	0	0	0.043948	0.037279	0	0	0	0	0	0	0.081891	0
ENSG00000175711.9	B3GNTL1	2.651094	5.964656	6.093838	6.083821	2.426416	2.839315	6.927202	6.367928	6.312928	2.934602	3.118291	3.258964
ENSG00000175718.10	RBMXL3	0	0	0	0	0.000344	0	0	0	0	0	0	0
ENSG00000175727.15	MLXIP	5.220721	4.930054	4.127239	4.92727	5.588336	5.14589	5.476457	5.816906	4.855759	4.344766	4.207792	4.272655
ENSG00000175728.4	LINC02873	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175730.8	BAK1P1	0.024623	0	0.042925	0	0.004821	0.220483	0.028778	0	0.045825	0.060014	0.072368	0.067887
ENSG00000175741.5	RWDD4P2	4.729323	4.244171	4.461434	4.287898	4.137294	4.560515	4.17907	4.796093	4.253905	2.909492	4.442768	3.965126
ENSG00000175745.15	NR2F1	24.44731	29.643393	37.182907	31.387315	22.337295	21.558314	25.78207	26.464685	28.132361	39.409369	50.17784	42.306195
ENSG00000175746.7	LINC02915	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175749.11	EIF3KP1	0	0	0	0	0	0	0	0	0	0	0.068203	0
ENSG00000175756.14	AURKAIP1	82.737119	72.958415	76.957705	72.072769	93.960892	76.57712	80.439399	88.776215	73.233946	74.001645	66.341201	64.047161
ENSG00000175764.17	TTLL11	0.65681	0.739219	0.561121	0.719142	0.720058	0.558527	0.760874	0.730717	0.736834	0.612323	0.482243	0.634194
ENSG00000175766.13	EIF4E1B	0.014552	0.039321	0	0.013866	0	0	0	0	0	0.018196	0.113453	0
ENSG00000175768.13	TOMM5	109.557356	93.403635	81.298847	93.298115	102.153769	104.821241	105.181202	106.300124	108.733348	64.869496	50.904702	57.324768
ENSG00000175772.11	LINC01106	3.24536	1.306809	1.577448	1.367237	3.202167	2.463706	1.198831	1.200241	1.226479	3.332862	3.925651	3.771635
ENSG00000175773.15	ZBTB44-DT	0.072127	0.147767	0.023112	0.094076	0.034134	0.024283	0.016591	0.079859	0.014981	0.133258	0.058671	0.060403
ENSG00000175779.5	LINC02694	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175782.11	SLC35E3	2.13824	2.714307	2.094616	2.718408	2.332117	1.934693	2.843936	2.670901	3.176741	1.540262	1.469425	1.237353
ENSG00000175785.13	PRIMA1	0.385109	0.472391	0.325175	0.327331	0.373591	0.284659	0.25996	0.247976	0.262092	0.15362	0.171578	0.134846
ENSG00000175787.17	ZNF169	1.592204	2.483633	2.535612	1.868668	1.562558	1.733067	1.683939	2.250651	1.715766	2.180982	2.352094	2.413013
ENSG00000175792.12	RUVBL1	100.040445	63.052687	53.477761	63.376602	109.254786	106.904281	71.698984	78.933003	75.398588	101.357701	72.569015	86.866747
ENSG00000175793.12	SFN	1.878183	1.43994	1.651018	1.309233	1.843791	1.569565	0.530257	0.593687	0.547878	2.418512	2.005781	2.631573
ENSG00000175800.5	OR52B3P	0	0	0	0	0	0	0	0	0	0	0	0.064027
ENSG00000175806.15	MSRA	6.164903	10.776335	10.220008	11.129899	6.173657	5.798018	10.030664	11.159899	10.824636	4.612599	3.951845	3.697543
ENSG00000175809.6	CBLL2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175820.4	CCDC168	0.00955	0.033067	0.032032	0.021406	0.010865	0.014348	0.041914	0.031142	0.014536	0.007915	0.005259	0.003549
ENSG00000175826.12	CTDNEP1	38.699786	31.964625	34.068287	32.193001	36.99927	39.121116	32.655123	36.379565	36.553607	40.50126	40.081704	40.130456
ENSG00000175832.13	ETV4	14.948282	20.127166	21.151304	20.095782	17.317595	15.307608	19.091197	20.734599	19.266224	21.018375	20.037396	19.183842
ENSG00000175841.8	FAM172BP	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000175854.15	SWI5	10.321528	11.995722	10.973397	11.292967	11.064787	10.299503	12.554217	10.339805	12.113978	9.005282	8.236319	9.980039
ENSG00000175857.9	GAPT	0	0	0	0	0	0	0	0	0	0	0	0
